Manuscrit,Numérisation,Notes
"Biblioteca apostolica vaticana, Pal. lat. 656",http://www.mss.vatlib.it/gui/scan/link1.jsp?fond=Pal.lat.,
"Biblioteca apostolica vaticana, Pal. lat. 658",http://www.mss.vatlib.it/gui/scan/link1.jsp?fond=Pal.lat.,
"Biblioteca apostolica vaticana, Pal. lat. 678",http://www.mss.vatlib.it/gui/scan/link1.jsp?fond=Pal.lat.,
"Biblioteca apostolica vaticana, Pal. lat. 696",http://www.mss.vatlib.it/gui/scan/link1.jsp?fond=Pal.lat.,
"Biblioteca apostolica vaticana, Regin. lat. 1061",http://www.mss.vatlib.it/gui/scan/link1.jsp?fond=Reg.lat.,
"Biblioteca apostolica vaticana, Regin. lat. 977",http://www.mss.vatlib.it/gui/scan/link1.jsp?fond=Reg.lat.,
"Biblioteca apostolica vaticana, Regin. lat. 1039",https://digi.vatlib.it/mss/detail/Reg.lat.1039,
"Biblioteca apostolica vaticana, Ross. 595",http://www.mss.vatlib.it/gui/scan/link1.jsp?fond=Ross.,
"Biblioteca apostolica vaticana, Urb. lat. 178",http://www.mss.vatlib.it/gui/scan/link1.jsp?fond=Urb.lat.,
"Bologna, Arch. Stato 217",Manoscritti giuridici medievali,
"Bratislava, Státny Archív C.14",Manoscritti giuridici medievali,
"Bremen, Universitätsbibl., a 142",Manoscritti giuridici medievali (Atria has microfilm images),
"Brindisi, Bibl. pub. arcives. A.1 ;",/,
"Bruxelles, Bibl. royale 1407–1409",/,
"Cambrai, B.M., 612",Juste 8 images sur la BVMM,
"Cambrai, B.M., 645",7 images sur la BVMM,
"Cambrai, B.M., 646",7 images sur la BVMM,
"Cambridge, Corpus Christi College, 269",https://parker.stanford.edu/parker/catalog/jz069xd3008,
"Cambridge, Gonville and Caius Coll. 676",Manoscritti giuridici medievali,
"Cambridge, Library of Trinity College, B.16.44 (405)",https://mss-cat.trin.cam.ac.uk/Manuscript/B.16.44,
Cambridge Pembroke College 72,Manoscritti giuridici medievaliPas assez bonne qualité au téléchargement,
"Cambridge, Trinity College, O 7 40",https://mss-cat.trin.cam.ac.uk/Manuscript/O.7.40,
"Chambéry, B.M., 13,",https://bvmm.irht.cnrs.fr/sommaire/sommaire.php?reproductionId=34197,
"Charleville, B.M., 269",/Pas trouvé,
"Córdoba, Archivio Catedralicio y Biblioteca del Cabildo, 10",/,
"Darmstadt, Landesbibl. 907,",Manoscritti giuridici medievali,
"Den Haag (La Haye), Museum Meermanno- Westreenianum 10 B 33.",/,
"Douai, Bibliothèque Marceline Desbordes-Valmore,586",Manoscritti giuridici medievaliDécor,
"Douai, B.M., 590",Manoscritti giuridici medievaliCiSaMe has MFDécor,
"Douai, B.M., 592",/ Décor,
"Douai, B.M., 640",CiSaMe has MF Décor,
"Douai, B.M., 649",Manoscritti giuridici medievaliDécor,
"Durham, Cathedral Library, C.I.7",Manoscritti giuridici medievali,
"Durham, Cathedral Library, C.II.1",Manoscritti giuridici medievali,
"Durham, Cathedral Library, V.III.3",/,
"Erfurt, Stadtbibl. Amploniana quart. 117","(référence perdue, ça vient du BMCL mais à reprendre)",
"Erlangen, Universitätsbibl. 342",Manoscritti giuridici medievali(quite bad MF)urn:nbn:de:bvb:29-bv041296958-8,
"Erlangen, Universitätsbibl. 349",Manoscritti giuridici medievali,
"Erlangen, Universitätsbibl. 394",/,
"Firenze, Bibl. Laurenz. Fesul. 125",/,
"Firenze, Bibl. Laurenz. Fesul. 126",/,
"Firenze, Bibl. Laurenz. Plut. I sin.4",Biblioteca Medicea Laurenziana Digital Repository,
"Firenze, Bibl. Marucelliana A. 298",Manoscritti giuridici medievali,
"Firenze, Bibl. Med. Laurenziana Gadd. reliq. 2",/,
"Firenze, Biblioteca Nazionale Centrale, Conventi Soppressi, A. I. 402 ;",/ (Atria has),
"Firenze, Biblioteca Nazionale Centrale, Conventi Soppressi, G IV 1736",/,
"Frankfurt am Main, UB Johann Christian Senckenberg, Barth. 68",/,
"Freiburg im Br., Univ. 361a",http://dl.ub.uni-freiburg.de/diglit/hs361a,
"Fulda, Landesbibl. D.22",/,
"Ghent, Bibl. der Rijksuniversiteit, 55",Manoscritti giuridici medievali,
"Ghent, Bibl. der Rijksuniversiteit, 1429",/,
"Gniezno, Bibl. Kapit., 27",Manoscritti giuridici medievali,
"Gniezno, Bibl. Kapit., 28",/,
"Göttingen, Universitätsbibl. iur. 159",Manoscritti giuridici medievali,
"Graz, Universitätbibl., 106",/,
"Graz, Universitätbibl., 138",/,
"Graz, Univ. Bibl. 374",/,
"Graz, Universitätbibl., III 80",https://manuscripta.at/?ID=23281,
"Grenoble, B.M., 11 (474)",/Fonctionne comme Gallica,
"Grenoble, B.M., 34 (475)",https://pagella.bm-grenoble.fr/ark:/12148/btv1b106634032/f6.planchecontact.r=msFonctionne comme Gallica,
"Grenoble, B.M., 62 (482)",/Fonctionne comme Gallica,
"Halle, Universitätsb., Ye 52",/,
"Halle, Universitätsb., Ye 80",/,
"Hamburg, Staats- und Universitätsbibliothek, cod. jur. 2231",CiSaMe has full HD ms,
"Heiligenkreuz, Stiftsbibl. 43",Manoscritti giuridici medievali,
"Heiligenkreuz, Stiftsbibl. 44",Manoscritti giuridici medievali (Atria has microfilm images),
"Hereford, Cathedral Library P.VII.3",/,
"Innsbruck, Universitäts- und Landesbibliothek Tirol, 90",/,
"Jena, Universitätsbibl. El. fol. 56",urn:nbn:de:urmel-15c124b4-413d-49e7-b043-1db1faaf56189-00004317-0168,
